RANK,NAME,TEAM,CUR,POS,AGE,GP,MpG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PpG,RpG,ApG,SpG,BpG,TOpG,P+R,P+A,P+R+A,VI,ORtg,DRtg
,Jahmyl Telfort,Lac,*,G,24.5,3,5.3,13.2,32.2,4,0.25,0,0.0,2,0.0,0.0,0.133,0.3,0.7,0.3,0.0,0.0,0.3,1.0,0.7,1.3,3.0,36.1,111.4
,Elijah Harkless,Uta,*,G,25.8,6,10.5,10.4,21.0,5,0.6,4,0.5,7,0.286,0.455,0.492,2.2,1.0,0.7,0.5,0.0,0.5,3.2,2.8,3.8,4.4,99.3,106.4
,Mac McClung,Ind,*,G,26.9,3,11.3,25.9,9.8,4,0.75,8,0.625,10,0.2,0.444,0.481,6.3,1.3,0.3,1.7,0.3,0.7,7.7,6.7,8.0,4.8,91.7,97.0
,Orlando Robinson,Orl,*,C,25.4,1,1.9,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Bilal Coulibaly,Was,*,G,21.3,4,23.8,23.3,20.7,13,0.692,21,0.429,17,0.294,0.434,0.48,10.5,4.8,3.3,1.0,1.0,2.5,15.3,13.8,18.5,9.2,94.2,115.8
,Isaiah Joe,Okc,*,G,26.4,9,25.8,21.1,9.7,26,0.885,19,0.526,74,0.405,0.591,0.637,14.8,3.3,1.3,0.8,0.1,1.1,18.1,16.1,19.4,6.2,122.1,102.6
,Mitchell Robinson,Nyk,*,C-F,27.6,6,16.2,9.9,17.4,1,0.0,19,0.579,0,0.0,0.579,0.566,3.7,8.7,1.0,0.5,1.2,0.7,12.3,4.7,13.3,7.9,151.9,98.6
,Vince Williams Jr.,Mem,*,G,25.2,9,19.3,19.6,23.6,14,0.857,19,0.474,39,0.359,0.517,0.561,8.0,4.2,2.8,0.8,0.2,2.0,12.2,10.8,15.0,9.4,100.2,107.5
,Kyle Anderson,Uta,*,F-G,32.2,3,16.3,19.1,14.8,7,0.714,17,0.471,0,0.0,0.471,0.523,7.0,2.3,3.0,0.3,0.0,1.0,9.3,10.0,12.3,8.9,116.0,111.3
,Robert Williams III,Por,*,C-F,28.1,7,11.9,11.2,8.7,1,0.0,18,0.667,3,0.333,0.643,0.63,3.9,3.7,0.7,0.4,0.6,0.3,7.6,4.6,8.3,7.3,141.7,112.5
,Daniel Gafford,Dal,*,F-C,27.1,8,21.9,15.6,17.1,17,0.824,48,0.646,0,0.0,0.646,0.685,9.5,5.9,1.0,0.9,1.5,1.3,15.4,10.5,16.4,7.0,127.3,101.7
,Jeremiah Robinson-Earl,Ind,*,F,25.0,8,20.8,13.3,11.7,9,0.889,30,0.467,15,0.2,0.411,0.46,5.6,6.4,0.9,0.6,0.0,0.8,12.0,6.5,12.9,6.1,107.7,116.0
,Kevon Looney,Nor,*,F,29.8,7,14.1,13.1,17.7,6,0.5,17,0.412,6,0.167,0.37,0.39,2.9,3.9,1.6,0.3,0.6,0.7,6.7,4.4,8.3,7.4,102.9,111.1
,Johni Broome,Phi,*,F,23.3,2,2.9,35.8,0.0,0,0.0,4,0.5,1,0.0,0.4,0.4,2.0,1.0,0.5,0.0,0.0,0.0,3.0,2.5,3.5,13.8,0.0,0.0
,Kyle Lowry,Phi,*,G,39.6,1,3.2,13.0,0.0,0,0.0,0,0.0,1,1.0,1.5,1.5,3.0,0.0,1.0,1.0,0.0,0.0,3.0,4.0,4.0,0.0,0.0,0.0
,Kevin Love,Uta,*,F-C,37.2,6,13.4,14.2,28.7,10,0.8,2,1.0,15,0.267,0.471,0.561,4.0,3.7,2.7,0.0,0.2,1.2,7.7,6.7,10.3,10.2,114.3,110.8
,KJ Simpson,Cha,*,G,23.3,6,15.0,22.6,21.1,4,0.75,23,0.348,14,0.357,0.419,0.439,5.7,2.3,3.0,0.7,0.0,1.7,8.0,8.7,11.0,9.1,93.5,112.4
,Jevon Carter,Chi,*,G,30.2,3,12.6,10.9,10.6,2,1.0,1,0.0,7,0.714,0.938,0.957,5.7,1.0,2.0,0.7,0.0,0.3,6.7,7.7,8.7,7.1,178.6,118.5
,Pacome Dadiet,Nyk,*,F,20.3,5,2.9,14.0,0.0,2,1.0,3,0.333,1,0.0,0.25,0.41,0.8,0.6,0.4,0.0,0.0,0.0,1.4,1.2,1.8,8.0,0.0,0.0
,Koby Brea,Pho,*,G,23.0,1,4.1,29.5,0.0,2,1.0,1,1.0,1,0.0,0.5,0.694,4.0,0.0,1.0,0.0,0.0,0.0,4.0,5.0,5.0,0.0,163.4,126.1
